idVariable,idFechaRegistro,idFase,idInicioFase,idFinFase,idEpisodio,idInicioEpisodio,idFinEpisodio,idGrupoTemaInteres,idGrupoVariableLongitudinal,idGrupoCategoria,idGrupoOperacion,valorMin,valorMax,valorNoConocido
23c8660d-2576-4fdc-9d39-c7e718454cf7,01012025,029537a8-cc1f-4829-8ab7-581cb47a2d21,46cd927c-78b7-41ad-ab2e-2566756ffd84,ff91d920-f640-43ae-8720-eb1251c57b3d,,,,9204513c-5e0e-4719-97c4-94b09c4eba5a,,39d035e5-afcc-4365-a647-99516f69645e,,0,1,-1
2c461bf1-908b-4892-b9a4-9d81757a858f,01012025,029537a8-cc1f-4829-8ab7-581cb47a2d21,46cd927c-78b7-41ad-ab2e-2566756ffd84,ff91d920-f640-43ae-8720-eb1251c57b3d,,,,2e9b3360-a476-4956-9bab-7addde933345,,34a2e97a-d481-4783-b894-659c6d7216f1,,,,
ac7caca5-2dfa-4d55-bbf8-c8a626254d8e,01012025,029537a8-cc1f-4829-8ab7-581cb47a2d21,46cd927c-78b7-41ad-ab2e-2566756ffd84,ff91d920-f640-43ae-8720-eb1251c57b3d,,,,ac86048c-32e7-4250-962c-78324791469b,,76145252-fd78-489b-8333-44aa08e7df71,,0,200000,-1
f6decb59-0f3a-46e7-8d0d-3aabfcd5c982,01012025,029537a8-cc1f-4829-8ab7-581cb47a2d21,46cd927c-78b7-41ad-ab2e-2566756ffd84,ff91d920-f640-43ae-8720-eb1251c57b3d,,,,7e3e0596-1761-45e5-beb0-148f155c266b,,5166916a-0a56-496f-8779-d8db1cefc4e7,,1,4,-1
cf137c22-1d0d-4f7b-aa4d-1224c6ec17b4,01012025,029537a8-cc1f-4829-8ab7-581cb47a2d21,46cd927c-78b7-41ad-ab2e-2566756ffd84,ff91d920-f640-43ae-8720-eb1251c57b3d,,,,dc2910fb-a280-421b-9666-ff4d29f8ab36,,76a9143c-0c5c-4ecb-90d0-f736fea0cf99,,19950101,20501231,-1
bc8eba7f-1e7d-4687-ba37-45f1d07f6d28,01012025,925ad557-662a-41db-8c7b-fd9e732f9af9,ff91d920-f640-43ae-8720-eb1251c57b3d,916e1a82-5da8-444e-a67e-326835fbf875,,,,f01d3e62-11cc-4943-8cae-a1f20ffe0dcd,,1aea2dfb-c3e4-4137-b6d8-0a446cdec04c,,0,1,-1
97e44c27-1d96-46d9-8009-5dce7b37104f,01012025,925ad557-662a-41db-8c7b-fd9e732f9af9,ff91d920-f640-43ae-8720-eb1251c57b3d,916e1a82-5da8-444e-a67e-326835fbf875,,,,e7cd1d1f-6102-49bf-a9a3-f91b21623c17,,f3c177e4-59e0-4230-82d0-53ede04befcc,,1,3,-1
50c90156-aa13-4c30-8115-ece25f2c1bef,01012025,925ad557-662a-41db-8c7b-fd9e732f9af9,ff91d920-f640-43ae-8720-eb1251c57b3d,916e1a82-5da8-444e-a67e-326835fbf875,,,,cee3079b-6e2f-4296-9508-d9508f76352a,,3d520337-bdc9-4e3e-a534-8ee0f3f1d9db,,1,3,-1
0713380b-d68c-4957-a96d-b1b1378958e4,01012025,925ad557-662a-41db-8c7b-fd9e732f9af9,ff91d920-f640-43ae-8720-eb1251c57b3d,916e1a82-5da8-444e-a67e-326835fbf875,,,,978b2556-568b-4515-81a5-5e66ebe9e0d7,,c6ca599e-cbd2-46e3-8aba-0e5a780e040a,,1,3,-1
81c8f725-6b6d-40e5-a38f-a0bc01f4d5aa,01012025,925ad557-662a-41db-8c7b-fd9e732f9af9,ff91d920-f640-43ae-8720-eb1251c57b3d,916e1a82-5da8-444e-a67e-326835fbf875,,,,0b8263cf-b841-4d5e-b4bb-bae74fa98692,,436ef2d0-dbeb-4db9-bb82-1dfcff7ce62b,,30,120,-1
