idGrupoVariable,idVariableLongitudinal,descripcion,abcisa
babae653-a577-40c5-baed-8ab6e8169de6,50a0ca82-7161-4311-a936-8d3aa9af6f55,ERN_EGBallard,ERN_EGBallard
babae653-a577-40c5-baed-8ab6e8169de6,79546db8-605b-4748-a391-975c76711ed7,PCANG_EGentradaPMC,PCANG_EGentradaPMC
babae653-a577-40c5-baed-8ab6e8169de6,ce329d12-fcad-4006-a9da-5c0564aad3c3,((PCANG_FechaVisita40semV215 -PA-FechaParto)/7 )+ ERN_EGBallard,((PCANG_FechaVisita40semV215 -PA-FechaParto)/7 )+ ERN_EGBallard
babae653-a577-40c5-baed-8ab6e8169de6,37a91ba5-f918-4a2a-8445-9a9920d1d6dd,SEG_EdadVisita3mECV260,SEG_EdadVisita3mECV260
babae653-a577-40c5-baed-8ab6e8169de6,7373f0a2-9af2-49a9-9bdb-080aaf4b3521,SEG_EdadVisita6mECV303,SEG_EdadVisita6mECV303
babae653-a577-40c5-baed-8ab6e8169de6,43723c45-788b-44a6-812f-501dcc918dfd,SEG_EdadVisita9mECV346,SEG_EdadVisita9mECV346
babae653-a577-40c5-baed-8ab6e8169de6,fa700b84-a2a3-4de5-a35f-71656895f8fb,SEG_EdadVisita12mECV388,SEG_EdadVisita12mECV388
ae081903-d686-4723-b2f9-a63174730322,6be98a56-311a-4e60-a48e-850c60d25141,ERN_EGBallard,ERN_EGBallard
ae081903-d686-4723-b2f9-a63174730322,c97bd922-8d73-41d8-a724-4f1e0d346ea7,PCANG_EGentradaPMC,PCANG_EGentradaPMC
ae081903-d686-4723-b2f9-a63174730322,b4867851-93f3-42bb-a494-624a57291e6a,((PCANG_FechaVisita40semV215 -PA-FechaParto)/7 )+ ERN_EGBallard,((PCANG_FechaVisita40semV215 -PA-FechaParto)/7 )+ ERN_EGBallard
ae081903-d686-4723-b2f9-a63174730322,00d8191a-45b1-41b8-84c9-0beeeaaa9892,SEG_EdadVisita3mECV260,SEG_EdadVisita3mECV260
ae081903-d686-4723-b2f9-a63174730322,efd4efbf-8275-4bff-ae88-43c1b9d2b78e,SEG_EdadVisita6mECV303,SEG_EdadVisita6mECV303
ae081903-d686-4723-b2f9-a63174730322,9e95dd86-a87e-413d-805d-ff2c1d5430f7,SEG_EdadVisita9mECV346,SEG_EdadVisita9mECV346
ae081903-d686-4723-b2f9-a63174730322,6b63505c-414f-487d-ab0f-da51e1c74053,SEG_EdadVisita12mECV388,SEG_EdadVisita12mECV388
4287828b-ff66-4cd2-bedb-f1886047010f,cfc3950a-a646-4ad9-86c1-e09a81173be7,ERN_EGBallard,ERN_EGBallard
4287828b-ff66-4cd2-bedb-f1886047010f,993ae9e2-ca29-4dad-9c0e-a2365f93c4ab,PCANG_EGentradaPMC,PCANG_EGentradaPMC
4287828b-ff66-4cd2-bedb-f1886047010f,a637a116-2810-4586-8bd4-2af3842f2aad,((PCANG_FechaVisita40semV215 -PA-FechaParto)/7 )+ ERN_EGBallard,((PCANG_FechaVisita40semV215 -PA-FechaParto)/7 )+ ERN_EGBallard
4287828b-ff66-4cd2-bedb-f1886047010f,9fc8cf58-dfe5-4c32-8321-c069c88d8b65,SEG_EdadVisita3mECV260,SEG_EdadVisita3mECV260
4287828b-ff66-4cd2-bedb-f1886047010f,8862ee7d-496b-4bf1-b785-f768c052d084,SEG_EdadVisita6mECV303,SEG_EdadVisita6mECV303
4287828b-ff66-4cd2-bedb-f1886047010f,0bc971be-da2e-437c-9a7d-8467fddbda53,SEG_EdadVisita9mECV346,SEG_EdadVisita9mECV346
4287828b-ff66-4cd2-bedb-f1886047010f,80518890-f6f9-4880-becb-790e9eb7b269,SEG_EdadVisita12mECV388,SEG_EdadVisita12mECV388
cc8fce9d-6721-4716-bb79-cb733c7510b2,490fae8a-90a1-4627-804d-d28e8fd4d134,PCANG_EGentradaPMC,PCANG_EGentradaPMC
cc8fce9d-6721-4716-bb79-cb733c7510b2,519b5f1f-1da6-48a9-b098-2a65b735de7f,((PCANG_FechaVisita40semV215 -PA-FechaParto)/7 )+ ERN_EGBallard,((PCANG_FechaVisita40semV215 -PA-FechaParto)/7 )+ ERN_EGBallard
cc8fce9d-6721-4716-bb79-cb733c7510b2,d98b4a4d-fb93-4a33-9c37-d18ff64b273d,SEG_EdadVisita3mECV260,SEG_EdadVisita3mECV260
cc8fce9d-6721-4716-bb79-cb733c7510b2,88d3aad4-c3cd-451d-bbe7-e008da27a684,SEG_EdadVisita6mECV303,SEG_EdadVisita6mECV303
cc8fce9d-6721-4716-bb79-cb733c7510b2,c2a5f47a-fcfc-4743-bdce-bc74aa8a97e0,SEG_EdadVisita9mECV346,SEG_EdadVisita9mECV346
cc8fce9d-6721-4716-bb79-cb733c7510b2,2f4b5586-0d22-4544-9a0f-fa42c2c08139,SEG_EdadVisita12mECV388,SEG_EdadVisita12mECV388
