idVariable,idFechaRegistro,idFase,idInicioFase,idFinFase,idEpisodio,idInicioEpisodio,idFinEpisodio,idGrupoTemaInteres,idGrupoVariableLongitudinal,idGrupoCategoria,idGrupoOperacion,valorMin,valorMax,valorNoConocido
7adc46c6-4104-48ae-986c-c8db19b29a2f,01012025,4f18bc91-2775-475a-b459-1176f1e6ac6c,10048dc7-fb97-430e-821c-93cc435956ab,0134bfe2-9004-4cba-9545-4f9ded84f40d,,,,28d256c3-9328-4348-b490-5a82aa918bef,,c3977f21-5e1c-4edb-9c6c-570634044d6f,,0,1,-1
6a9f8a87-c38c-47ea-9cf9-7aa5b8c3445c,01012025,4f18bc91-2775-475a-b459-1176f1e6ac6c,10048dc7-fb97-430e-821c-93cc435956ab,0134bfe2-9004-4cba-9545-4f9ded84f40d,,,,c4762eb4-6860-4d1a-a2d8-e43c152cc6f6,,61c9ef1b-1271-411d-a4d9-dc20bac0a702,,,,
96cf215b-5b84-4b6f-9b21-2112281e4de7,01012025,4f18bc91-2775-475a-b459-1176f1e6ac6c,10048dc7-fb97-430e-821c-93cc435956ab,0134bfe2-9004-4cba-9545-4f9ded84f40d,,,,834d4bbd-f770-4cef-bf34-93a247462fdf,,9df06b58-5580-4939-a99a-e11466727e22,,0,200000,-1
74aa46d7-d686-4e89-bc1c-104a1431adc0,01012025,4f18bc91-2775-475a-b459-1176f1e6ac6c,10048dc7-fb97-430e-821c-93cc435956ab,0134bfe2-9004-4cba-9545-4f9ded84f40d,,,,cd7ff41e-1752-4e73-9aa4-1360d0b93e55,,39dff281-9e14-4e03-8b0f-9a8815797311,,1,4,-1
2b68647d-0c59-4559-bc97-e71a378c40d5,01012025,4f18bc91-2775-475a-b459-1176f1e6ac6c,10048dc7-fb97-430e-821c-93cc435956ab,0134bfe2-9004-4cba-9545-4f9ded84f40d,,,,e69eb9fa-fc75-4984-a549-526f7599eb7f,,36b5aef4-4687-4884-8cf0-d4b630e30e33,,19950101,20501231,-1
d2125022-b7ea-4beb-8a93-f2c8178395d1,01012025,aeff090f-0769-4b95-b4b7-29761adbd4ad,0134bfe2-9004-4cba-9545-4f9ded84f40d,c27b1f92-21a4-450d-8f0a-ca03b90d9589,,,,575eefd0-d764-4973-b9c8-a999a16c668d,,ef82b09d-c0df-4e46-a304-3478e3301f10,,0,1,-1
0503737d-e3c7-418e-9bab-ed0790fc0525,01012025,aeff090f-0769-4b95-b4b7-29761adbd4ad,0134bfe2-9004-4cba-9545-4f9ded84f40d,c27b1f92-21a4-450d-8f0a-ca03b90d9589,,,,f9ddfab5-517c-424d-9781-cfbb9ddad6d5,,7e7c0a04-1897-4edd-b67b-609aae16beaf,,1,3,
4d2a3772-b459-4094-93c7-7f0b73fe6541,01012025,aeff090f-0769-4b95-b4b7-29761adbd4ad,0134bfe2-9004-4cba-9545-4f9ded84f40d,c27b1f92-21a4-450d-8f0a-ca03b90d9589,,,,7c333397-6522-47b0-bbec-291b6f0d0dc2,,e95f486a-5e93-4a46-a773-aabf9ff1169f,,1,3,
4d683df8-b364-4d65-8910-25a31ed2f056,01012025,aeff090f-0769-4b95-b4b7-29761adbd4ad,0134bfe2-9004-4cba-9545-4f9ded84f40d,c27b1f92-21a4-450d-8f0a-ca03b90d9589,,,,aa8f7db4-fff3-4682-bc6d-7320bc1b05c8,,c917e1fb-ef0f-4b91-8d04-be1e97215d47,,1,3,
65146cee-ae0a-48e3-80a6-cfcf980e3497,01012025,aeff090f-0769-4b95-b4b7-29761adbd4ad,0134bfe2-9004-4cba-9545-4f9ded84f40d,c27b1f92-21a4-450d-8f0a-ca03b90d9589,,,,2ed276b5-f6d8-4687-a973-5024a2a5cd57,,048b9c59-9aa6-45c0-945e-5250752c13d0,,30,120,-1
73951462-2f06-4fa4-8a44-9da216538140,01012025,aeff090f-0769-4b95-b4b7-29761adbd4ad,0134bfe2-9004-4cba-9545-4f9ded84f40d,c27b1f92-21a4-450d-8f0a-ca03b90d9589,,,,f2415848-812a-49ad-b9d2-36a604dcce0f,,2a9ab89d-40fe-4177-9cc5-782bf191a1bb,,30,120,-1
2dd3fd65-3d5a-4150-9d6c-456b5a22818b,01012025,aeff090f-0769-4b95-b4b7-29761adbd4ad,0134bfe2-9004-4cba-9545-4f9ded84f40d,c27b1f92-21a4-450d-8f0a-ca03b90d9589,,,,439ba004-0625-4deb-b765-2c689d7062d1,,9c47365e-2adb-475a-b04a-a8e573567d86,,1,8,-1
9f1d19df-3fe9-4a6a-b81e-8f8b9d452121,01012025,aeff090f-0769-4b95-b4b7-29761adbd4ad,0134bfe2-9004-4cba-9545-4f9ded84f40d,c27b1f92-21a4-450d-8f0a-ca03b90d9589,,,,f8efe085-fb7c-4543-915a-150a3f536922,,48b4c1bc-40e8-4fe3-92ae-e63dc349a021,,50,220,-1
36b1d8e0-f7a8-44b5-9898-fb6b7c8a79cc,01012025,aeff090f-0769-4b95-b4b7-29761adbd4ad,0134bfe2-9004-4cba-9545-4f9ded84f40d,c27b1f92-21a4-450d-8f0a-ca03b90d9589,,,,a8299350-426c-4d98-b2a3-7625c03287c6,,d27a6c9b-0b98-4ac3-81c0-49f216d0dc0a,,50,220,-1
00f08d10-57a0-4f8c-90f5-b0554d165462,01012025,aeff090f-0769-4b95-b4b7-29761adbd4ad,0134bfe2-9004-4cba-9545-4f9ded84f40d,c27b1f92-21a4-450d-8f0a-ca03b90d9589,,,,e57170b4-b570-4e57-a989-5155d2b6fcd0,,25b838c7-2ea6-4aad-b788-f69c3c990f7d,,1,4,-1
a68361cb-be57-444e-b373-a703ed18008d,01012025,aeff090f-0769-4b95-b4b7-29761adbd4ad,0134bfe2-9004-4cba-9545-4f9ded84f40d,c27b1f92-21a4-450d-8f0a-ca03b90d9589,,,,a57e8218-ee95-4cdc-bb7b-838999cadd63,,853a01fe-2897-44e9-95ee-c85bc2d0fe96,,1,8,-1
473fcd86-0c87-41bb-ab5b-064f2da18c0f,01012025,aeff090f-0769-4b95-b4b7-29761adbd4ad,0134bfe2-9004-4cba-9545-4f9ded84f40d,c27b1f92-21a4-450d-8f0a-ca03b90d9589,,,,f1071622-6b3e-4e3e-bc9a-818ef7a2f3ad,,43633982-0772-4e68-a6e7-0731e2f03e18,,1,8,-1
d11abdcc-8f6e-4780-81ef-5ebc86baa1c4,01012025,aeff090f-0769-4b95-b4b7-29761adbd4ad,0134bfe2-9004-4cba-9545-4f9ded84f40d,c27b1f92-21a4-450d-8f0a-ca03b90d9589,,,,0c538940-96aa-4361-bb93-cf8da3c2c6b0,,57f0a514-31f4-4121-8921-89d833407cfe,,0,30000000,-1
b132b3d1-17cf-41af-b711-6bc9c3f02652,01012025,aeff090f-0769-4b95-b4b7-29761adbd4ad,0134bfe2-9004-4cba-9545-4f9ded84f40d,c27b1f92-21a4-450d-8f0a-ca03b90d9589,,,,861ad55f-c49e-4e33-80ff-3cd96704cb45,,3df90797-3463-40bb-9afd-d4053b4545c6,,0,10,-1
d51c9a8d-c335-47b2-afa8-5782998757a2,01012025,aeff090f-0769-4b95-b4b7-29761adbd4ad,0134bfe2-9004-4cba-9545-4f9ded84f40d,c27b1f92-21a4-450d-8f0a-ca03b90d9589,,,,37f2cada-8610-47aa-b5c0-7e0e0332f010,,b99d970d-a8a6-4428-8934-a7861f64f862,,0,9,-1
3451c027-f3e0-4089-a1e9-83bffd92aa22,01012025,aeff090f-0769-4b95-b4b7-29761adbd4ad,0134bfe2-9004-4cba-9545-4f9ded84f40d,c27b1f92-21a4-450d-8f0a-ca03b90d9589,,,,2c45d2e3-011b-4ada-8462-43a0dbbfe899,,e1969a9b-83e4-41b6-b104-84d85403ec29,,0,1,-1
fbc1b6da-d2ef-46e2-915b-004964342971,01012025,aeff090f-0769-4b95-b4b7-29761adbd4ad,0134bfe2-9004-4cba-9545-4f9ded84f40d,c27b1f92-21a4-450d-8f0a-ca03b90d9589,,,,420ef157-4602-4dc1-bd99-ef82b070bedc,,d1ca054e-ad0c-4ddd-9f81-a0decc4b3433,,1,20,-1
d575656d-aba7-40a2-8330-2fbc5849f6f4,01012025,aeff090f-0769-4b95-b4b7-29761adbd4ad,0134bfe2-9004-4cba-9545-4f9ded84f40d,c27b1f92-21a4-450d-8f0a-ca03b90d9589,,,,13e9e319-0cd1-4af4-9bba-e1edb31988ed,,32bb8371-176b-488a-8489-350f0a920486,,1,4,-1
280c6018-ca09-41cf-b9fb-a4281c84fb6e,01012025,aeff090f-0769-4b95-b4b7-29761adbd4ad,0134bfe2-9004-4cba-9545-4f9ded84f40d,c27b1f92-21a4-450d-8f0a-ca03b90d9589,,,,fc482237-75f9-4046-9798-5dca260d1f08,,48a71bd9-5f09-4594-91ba-fcca514c6c56,,1,4,
191574ca-ba92-4f84-a6e3-60e6663be581,01012025,aeff090f-0769-4b95-b4b7-29761adbd4ad,0134bfe2-9004-4cba-9545-4f9ded84f40d,c27b1f92-21a4-450d-8f0a-ca03b90d9589,,,,cf84ea0e-2860-4c6b-878a-e120c77662b6,,0e3ed59f-8285-4452-a9dd-e89aa3247a0b,,0,50000000,
bfc3bec8-914b-4e05-bccb-dc55603c1101,01012025,aeff090f-0769-4b95-b4b7-29761adbd4ad,0134bfe2-9004-4cba-9545-4f9ded84f40d,c27b1f92-21a4-450d-8f0a-ca03b90d9589,,,,04fefa56-3859-41fd-bd92-a6e1218718f8,,83b7f084-26ac-49e7-a5c5-c9707123729a,,1,4,-1
7e7aea0e-bc00-4fe2-98d4-95bbcdf1ebc7,01012025,aeff090f-0769-4b95-b4b7-29761adbd4ad,0134bfe2-9004-4cba-9545-4f9ded84f40d,c27b1f92-21a4-450d-8f0a-ca03b90d9589,,,,0cf97f89-003c-4cd0-a20e-04c1a165546c,,78b4ce52-b5a0-46c2-ae0d-c6d55cf6590b,,1,3,-1
7de3c667-2f9a-4d51-9d98-e888e3733491,01012025,aeff090f-0769-4b95-b4b7-29761adbd4ad,0134bfe2-9004-4cba-9545-4f9ded84f40d,c27b1f92-21a4-450d-8f0a-ca03b90d9589,,,,8581173e-dea0-47b3-8faf-a1e66203431f,,96009308-95e5-40fe-8abc-c1abc84b1455,,1,3,-1
b66ef7bd-f6c6-43a8-8c40-f5fd6f0f42bc,01012025,aeff090f-0769-4b95-b4b7-29761adbd4ad,0134bfe2-9004-4cba-9545-4f9ded84f40d,c27b1f92-21a4-450d-8f0a-ca03b90d9589,,,,edc34cef-7945-4186-8e31-d59a2f13dc41,,754c02b2-ce41-4c33-8724-dd76ceffbbb2,,0,3,-1
fbce661b-ea67-4ff0-9010-cff41be50fca,01012025,aeff090f-0769-4b95-b4b7-29761adbd4ad,0134bfe2-9004-4cba-9545-4f9ded84f40d,c27b1f92-21a4-450d-8f0a-ca03b90d9589,,,,a9db462b-f28c-43f2-bf1a-8de1dfc26f4c,,3a4ce531-09c1-456e-820d-75fc0a9f7193,,1,2,-1
7dd41160-793a-4a43-a704-e90a5dbb6515,01012025,90df47b2-9dcf-4847-9e7c-e09ad8a61824,c27b1f92-21a4-450d-8f0a-ca03b90d9589,83dc4be6-0b15-4844-a0db-18daec3a3c4e,,,,2edc29fc-069c-43f1-a86a-6738ccc6b5b3,,4f5ddbc7-c3b7-4d3a-9bb1-89e873d74420,,0,20,-1
443ab28d-4d54-4ad8-94c7-e4d0ea79a6ed,01012025,90df47b2-9dcf-4847-9e7c-e09ad8a61824,c27b1f92-21a4-450d-8f0a-ca03b90d9589,83dc4be6-0b15-4844-a0db-18daec3a3c4e,,,,4ad1c6cb-21da-49b6-a9f2-fa31fe425fe9,,26034250-e84b-4196-b1f0-af004d6078ad,,0,2,-1
b37003b9-30c7-481c-a192-7153fb013f41,01012025,90df47b2-9dcf-4847-9e7c-e09ad8a61824,c27b1f92-21a4-450d-8f0a-ca03b90d9589,83dc4be6-0b15-4844-a0db-18daec3a3c4e,,,,00db5f2f-9bb4-4b07-8470-186f6a045850,,a20c4acc-37c1-4b22-a7bc-da15c00fa5bf,,0,3,-1
9f37af43-6343-4e2b-b01a-cd57bd9db357,01012025,90df47b2-9dcf-4847-9e7c-e09ad8a61824,c27b1f92-21a4-450d-8f0a-ca03b90d9589,83dc4be6-0b15-4844-a0db-18daec3a3c4e,,,,43909ae5-3f2f-4118-a316-4ecb746838ec,,fb7d5ee0-134f-4552-ac3e-6c828c0ddd37,,0,5,-1
4f6f8cd5-c8d7-49f9-b57c-8f5e5dedd775,01012025,90df47b2-9dcf-4847-9e7c-e09ad8a61824,c27b1f92-21a4-450d-8f0a-ca03b90d9589,83dc4be6-0b15-4844-a0db-18daec3a3c4e,,,,8b6e51f9-450b-4985-a0e2-213a81ca9015,,0d0ea1b8-ab6b-4502-b8b8-ffd784177b2e,,0,3,-1
55536fe8-d65f-4208-bb4f-f050561e9375,01012025,90df47b2-9dcf-4847-9e7c-e09ad8a61824,c27b1f92-21a4-450d-8f0a-ca03b90d9589,83dc4be6-0b15-4844-a0db-18daec3a3c4e,,,,b8a1eb28-08a9-434b-a580-a9cf198fd635,,156f1c2a-9f89-437b-aa9b-392471bc49c7,,0,3,-1
da4e7eea-a635-4aee-8b99-df34091acb2a,01012025,90df47b2-9dcf-4847-9e7c-e09ad8a61824,c27b1f92-21a4-450d-8f0a-ca03b90d9589,83dc4be6-0b15-4844-a0db-18daec3a3c4e,,,,b6a5947b-8279-4bd0-a46d-6376500cbd3d,,7d4f88a9-dd57-419f-a0a6-ede6468ab7c7,,0,5,-1
bb0a82b6-d0cc-41a8-a314-7c32ff44e791,01012025,90df47b2-9dcf-4847-9e7c-e09ad8a61824,c27b1f92-21a4-450d-8f0a-ca03b90d9589,83dc4be6-0b15-4844-a0db-18daec3a3c4e,,,,00858e48-f377-4af2-92d3-f95571c99452,,203d61db-768c-449b-8f07-74fe6060cd7d,,0,3,-1
606c322f-47ca-474c-819b-c01f91692b2a,01012025,90df47b2-9dcf-4847-9e7c-e09ad8a61824,c27b1f92-21a4-450d-8f0a-ca03b90d9589,83dc4be6-0b15-4844-a0db-18daec3a3c4e,,,,bb68dbf6-1f6a-4985-947a-4502b1524b9f,,193c215d-ff27-431a-acda-a627b0fe2fe0,,0,1,-1
a0692a9c-015c-4c77-8204-5e5885d914ba,01012025,90df47b2-9dcf-4847-9e7c-e09ad8a61824,c27b1f92-21a4-450d-8f0a-ca03b90d9589,83dc4be6-0b15-4844-a0db-18daec3a3c4e,,,,02bbc88b-6400-4e6a-8087-a4ff0b730ad7,,e9a24349-fb7d-45e7-a96c-af9b0d9241c8,,0,10,-1
fe35a842-0c9a-4768-9ccb-1c1b4e0ed466,01012025,90df47b2-9dcf-4847-9e7c-e09ad8a61824,c27b1f92-21a4-450d-8f0a-ca03b90d9589,83dc4be6-0b15-4844-a0db-18daec3a3c4e,,,,279da873-b739-4eed-a7f4-553a9ee4f6dc,,532194f7-cf60-43a9-a105-d371c5add64c,,10,60,-1
b566173d-6b94-4071-8797-10710e222bc9,01012025,90df47b2-9dcf-4847-9e7c-e09ad8a61824,c27b1f92-21a4-450d-8f0a-ca03b90d9589,83dc4be6-0b15-4844-a0db-18daec3a3c4e,,,,16cebcc2-7bb2-4f76-a084-586b295219c5,,83d6a9b0-466e-4b43-875c-e8909cffd5a9,,0,1,
fff6ae03-9320-429b-a4bb-6e9753130a25,01012025,90df47b2-9dcf-4847-9e7c-e09ad8a61824,c27b1f92-21a4-450d-8f0a-ca03b90d9589,83dc4be6-0b15-4844-a0db-18daec3a3c4e,,,,c98c2a2e-576f-4bc1-89a4-d63082007ef4,,5da210de-5a41-472d-b09c-0eac1033da0e,,0,1,
8f3e0fbb-dfb9-4194-9bd4-6d5b908df1b3,01012025,90df47b2-9dcf-4847-9e7c-e09ad8a61824,c27b1f92-21a4-450d-8f0a-ca03b90d9589,83dc4be6-0b15-4844-a0db-18daec3a3c4e,,,,43bb676c-151c-437a-83e9-03fd4dadb378,,079351ae-79c3-4c75-91b3-e9ab65596e10,,0,1,
8d979810-2ed8-437b-8c04-0f0d52050c4f,01012025,90df47b2-9dcf-4847-9e7c-e09ad8a61824,c27b1f92-21a4-450d-8f0a-ca03b90d9589,83dc4be6-0b15-4844-a0db-18daec3a3c4e,,,,600a2e3a-53be-42ae-9b3f-58d17dc2dc31,,4e6d103d-470b-490d-85ca-d4ebd9d7a2f5,,0,30,-1
2fbe0f45-6ffc-44a7-a6d2-a4e2fade519e,01012025,90df47b2-9dcf-4847-9e7c-e09ad8a61824,c27b1f92-21a4-450d-8f0a-ca03b90d9589,83dc4be6-0b15-4844-a0db-18daec3a3c4e,,,,47345495-f8b3-49a7-afb2-0153707515ba,,a4d7c384-3321-41e3-9fb3-513183d3be16,,,,-1
764363d6-b960-433c-887e-fe6231c5fafe,01012025,90df47b2-9dcf-4847-9e7c-e09ad8a61824,c27b1f92-21a4-450d-8f0a-ca03b90d9589,83dc4be6-0b15-4844-a0db-18daec3a3c4e,,,,cd38a7a9-9285-4303-ad46-eb5c2fdf39f8,,b08ea339-d582-4d81-b694-9f2c09ce2d1f,,0,1,-1
