id,codificacion,descripcion
b32f5f81-6d34-41e9-baa3-25ffe6817d35,2,SegPMC hasta 12mEC
d85db4d5-a9aa-427f-be72-16808db4da80,9,BIEN
60422c5a-578f-4081-8659-45c4b3b118cd,2,URN
19097908-2edd-4cd1-a818-2721091a0a3f,2,Retraso LEVE
431574a5-2015-440a-b4f8-15274f3af917,2,4 A 9 ECOS
76db05ee-f283-4e53-a4eb-0fa2014ee7ea,0,NO EVALUADO
a9f1f2e7-f919-4bd3-9c64-4e488d125168,2,No ROP
484537a1-8500-455c-a150-f1f7300b06ff,2,CONDUCIDA
e9d96be4-e375-4c01-a8a8-ebde4a3d175a,3,Distonía
407133c5-9782-418e-b3db-f4ea6414aecb,1,Displasia Broncopulmonar
1c1f68fe-9728-4126-a567-4950741011f4,2,AL MENOS 12 H
12675c6c-13cb-4316-adfd-947f0adb6677,2,Ventilación Mixta
8cac279e-fb00-4ac1-bc21-556619e0979f,6,A+
29b5a4dc-12e8-4b9f-b02a-4edf94b14a3e,5,6mEC-9mEC
f72e5168-da2a-4b65-9fe1-5ea1c7a2d33b,7,+ 6m a 9m
f72d2e13-da8d-435a-ba1a-3a5a27a84881,6,ROP grado 4 (CIEGO)
ec830c16-3700-490f-802a-f5f97f78ef1e,0,No operados
54611c85-58a5-480a-83ff-b1f66480a2ed,3,Perdio o no autorizado por su EPS/ARS
512fdb1b-3616-4244-9f38-190f5e92506e,2,FEMENINO
aa16ae16-1e7f-49f5-9f1d-aa5e2189b65e,4,Expulsiva
2f42555b-7a4b-4e51-8d7d-61c303d695ad,3,"SI, con CIRUGIA"
6e13a982-e6d3-48b8-8988-b49ca57d47f6,4,+Salida-40semEPC
4695e00b-e949-4429-8bc2-1e1c51e12dc2,2,Control por ARO MAS  DE 50%
61d34162-ce59-475c-bfbc-d70355c6a473,3,3er. Trimestre
0487fdc0-8dee-4515-916b-4759dce08772,5,Cambio de departamento
a1799101-edf8-41f0-a4cd-4cfa2c54d6c0,0,NO VACUNA
60cde339-70a4-4bca-895b-06e5f562b18a,6,antiretroviral solo
ceac27c7-f68c-49cf-bcfb-52b0d9288ca2,3,nan
a6d75692-a1e2-43ac-941b-c8ba40f9327a,1,CON empleo
b47aa7a6-23bc-4d47-9cf6-99bb87146fac,1,ASINTOMÁTICA
de96c130-9866-45e6-8064-5df2c3121ddf,3,ATPEG (Pequeño AT)
d6bfb195-de50-45d3-8344-8ad8dfe7b571,5,Retraso severo
6ca3984f-04b0-43dc-b5f9-7a505d763d8b,0,Asistió después de 12 mEC
2885d99b-4c98-41cd-babc-ee013b51f22c,0,"NADA (por ahora, o no reportado)"
e7611363-9845-4a3f-bf18-58258a46ff15,2,PTPEG (Pequeño)
0dd13556-1ab8-4400-8ed9-343c654ac616,5,AB+
c2053126-c9e7-46e4-86dd-35874893cd7e,1,Sala de Partos
11a1872c-90c6-45cd-b145-f0a6c3790e7e,0,NO INFECCION
a10a621b-2fe4-4e64-a377-c96fbe612261,3,ANOXIA LEVE
4a500e99-e991-4f28-b5c4-b81fff05f74c,4,ROP grado 3
4882897a-ca86-4183-87e8-70cd1767618f,0,En seg./seg.acabado
c44bd083-c68b-43af-ac20-b8c51e852ebe,3,ANORMAL
b55d7f2b-3d98-4952-8a8f-e91279bbaed2,4,hierro solo
c4b1c66a-39bf-4f48-a1a1-b27d484e2680,2,DOS
eeab7e71-ee16-4c17-aabb-a82c9ed774a7,4,Ciego 1 ojo
3685d166-409b-41ae-81cc-6a5c4d44ee20,0,VIVO
bd1f047d-5a9a-4167-bf26-07010ffcb098,1,Hipertonía
cd057ee3-7e33-4c59-b071-512dcc6f29f3,5,ROP grado 3+
d4211a91-b932-44e4-acbb-cd60c77d39a6,4,Estudiante
061b5256-4e99-48b0-99da-38d0d1351955,1,nan
61130eaa-aa51-44f5-999a-289c34f15b24,8,O+
11a3f0dc-2721-4047-9b7e-7a2c4b739ae4,0,NINGUNA
b24dfeb4-7e73-4ac7-819d-830d08edbe33,2,+ ANTES elegibilidad
569fe348-2e13-4977-aaf9-a6d2d32dfdb0,3,40semEG-3mEC
b58ef6be-b39e-4a5f-8ebb-cb1d97b0e02d,6,ALTA
f74e4034-328a-49d8-bddd-e869c7df7dba,2,5 A 9
86c9177f-9e1d-468e-86ff-89d46a0ee6b8,3,33 A 34 SemEG
9dfb3c88-96ec-403a-9eea-73e614274d25,4,O-
09970e98-9ca8-4e1b-b1ba-7deaaa8047c4,4,Severamente insuficiente ( una comida diaria)
a9d504fe-3f5d-4066-aca0-cacec60bdbeb,1,VAC COMPLETO
149e4c15-08fe-4a83-a6d2-a872a1b8280a,2,LIMBO
42a9cdeb-2d0e-4059-b3d6-be867dab6847,4,3mEC-6mEC
75231bfa-75c3-48d1-a989-43b1e4de4a1a,1,1 a 3
dd770e0d-b87c-45fa-8b0b-9b46468da6bc,5,anticoagulante (sin antiHTA o antibio o B+)
54dee540-d492-4d17-a75a-51ea509209ed,3,Más de 2 horas EN la ciudad
c9553042-1aa8-4b05-a701-5d74a15e1298,3,INDUCIDA
5b35daea-d31e-4cb5-b53c-6d13dddc7051,9,NO HAY DATO
f3e2cc8f-3212-4d42-ba35-5fd21bb78d68,2,1001 a 1200 gr
421e4451-56b8-4f9b-9d18-ded3fe8c66e1,1,No llegó al PMC
2ffcac97-e3db-4317-848e-25768e1b6ef3,2,Miope
15052011-9202-421d-8d8a-453b69c84005,2,SINTOMÁTICA
fe7a9d80-ab40-4993-be34-9f18f4eb8684,5,RSM Severo/Profundo
d761e283-354b-4743-b4c3-e8bd28af1a6f,2,APNEA SECUNDARIA
f3b4d485-63dd-4396-b189-73ef03445500,3,NHD
