id,codificacion,descripcion
f420f36f-a6c5-4497-9b5a-03f4d3de9249,3,"SI, con tratamiento (Cirugía)"
035e2c46-14a3-4ecf-9032-7bf371eceadb,2,SECUNDARIA
f6c863b8-a8d0-424f-8ab2-9c3ef785f222,3,33 A 34 SemEG
96c463ef-5fee-47d0-ae22-edb88ded3891,0,EMERGENCIA0
0a94d07b-bdc1-4ce8-9cdb-cf308fd6cc73,0,NORMAL HASTA 12M EC
52edd869-a62a-4022-9bcb-0e1ddf4f051b,0,No Vinieron Y en seguimiento
2a9a87eb-1b9b-46b6-bec7-ee666eee0b29,5,anticoagulante (sin antiHTA o antibio o B+)
496608dd-3367-4322-ae8c-4587d814b50b,2,ANOXIA MODERADA
2f1126fc-0d28-469d-8286-a2278499574b,5,1801 a 2000 gr
fe8f4bb4-988e-44b1-a527-ff4e02e96c37,1,ANOXIA SEVERA
b89aa79a-3943-44f7-a40d-d6bb3a4ccea1,0,NO INFECCION
673500c3-f1c3-4426-8d58-8fad0df5d53d,3,Distonía
fa800a38-ef87-4621-aac5-778e251ec92e,6,RECUPERACION
deb9a3eb-c148-440a-950b-5850ba8cc0f6,2,HIPERTONIA
06716234-c659-4964-ba7e-a19dde22d48f,5,ROP grado 3+
070bf3da-2daf-4624-a489-fb1de3c77f73,2,HTP
9bd70f6b-a1a1-4a57-b4e6-394e22afc801,2,Anormal
0e4ab1db-1b3a-4c5f-a85a-2f899669156b,1,1 A 3 ECOS
3e14a394-58a0-4df2-a64c-caca1bff34f0,3,ATPEG (Pequeño AT)
0075f8a1-ca77-41d5-8ddc-b1950a94f1b8,3,ROP grado2+
f4046fee-2a60-40c5-91c0-27f9f570e610,4,ROP grado 3
7ea818e6-e7e8-403d-afbe-91ac9c0ebf5d,8,BIEN
e73d7357-f3fc-43c6-be70-d1cad150dc4c,4,Sala de Parto
c7a03aa1-e89d-48b9-a4a5-89625f506710,1,LME
26997905-868e-45df-ae51-2792676e125a,2,2do. trimestre
f8af199d-7f20-4db9-a680-16e22b51620a,3,NO hecho
b595a7c9-7d20-477e-bdee-71d8a51af782,2,NO Hosp
9dd6a278-3b10-4ad5-8d9a-379b640964ca,2,Hipotonía
f503fe81-b515-47d9-adc1-8a68095331b0,2,ANORMAL UNO O DOS LADOS
992c646a-5a97-4a69-ad80-dc2f36d895e5,4,OTROS PROB. NEUROLOGICOS
36dbb954-c847-454f-8f66-985bb1a98fcd,8,universitaria incompleta
4c8e9c1a-dab4-404b-a6ef-f461cf03a4b1,1,Cefálica
67cc6200-e171-4acf-8006-bf158e5ef479,1,No autorizado EPS/ARS
42276a57-7a03-4816-bde1-e7657647386b,4,Estudiante
fd80eabc-6461-4565-810c-294ffca9065f,1,nan
35dba5dd-53cf-4f8b-be23-6e9cf4adc7ae,3,1201 a 1500 gr
0032ac23-a04a-4787-9cf2-6dc6c20b453b,0,VIVO
852d7f20-a83c-4032-973c-7d15675e1157,2,Med.General
e7fec9a4-1872-467c-88b1-52276239c3e9,1,Sala de Partos
eb68ccf8-8e09-43ad-bf74-e6c185034af8,1,ESPONTÁNEA
63a5a690-00b4-42b9-bf8a-24c32d90d308,4,RECUPERACION
2b3f97ee-fad7-4ad3-b86b-45b381638314,1,UCI
3bcea1b4-12b7-4e4b-9f5c-816b1c5d5151,3,RETRASO LEVE
00c2fa31-930d-4c4d-bbc9-c6949e0e4527,2,FISIOLÓGICO
462fdb31-fc85-40b3-b47a-42af4c40b3f7,3,DBP+HTP
ebfe00b0-28be-4b1f-9a60-28ba59f489dc,2,de 40sem a 12 meses
49afad8d-03d6-41a8-b63c-e0cb82748a80,3,AltoRiesgo (más de 2100 gr y 37 semEG o más)
5e5638a1-b3cf-4fa5-b3ed-d3e8c322bff0,2,4 A 9 ECOS
b97dcab7-b97c-4a2a-954e-c1a469f47265,4,RSM moderado
f77fe34e-5a37-4af3-aad2-5b74ef901504,2,Miope
1fdf0c8a-b5d9-4da8-aca0-8f858744a523,2,Positivo Tratado
1e05d422-9a74-4476-9a30-0925d043f7ab,3,ANOXIA LEVE
293340ef-2e4c-4bf1-9abb-64fd825e983e,5,37 o MAS SemEG
3a920ac6-4d7f-4a40-ae10-76d556be36ed,5,CIEGO 2 ojos
a8f422c9-72ee-440f-b44e-853351064daf,2,no deserto por ahora
69a0f102-eafe-4fa1-8303-3da576782e74,7,?
7bd3074f-a2ce-4dc9-86ce-92cf973cf118,3,MAS DE 35
e3e63a6b-2338-4395-8139-76db99425c7d,1,Control por ARO MENOS DE 50%
b585a77a-3f26-4b4d-a23e-e3a9f184a00b,3,PAREJA ESTABLE
fdbf6d3a-5afe-4e5c-a2f8-0306c32c5fe5,1,Rural
f9938df3-2408-425f-85cd-68d79ffc8014,5,nan
8ab2d27a-3d77-4ced-b39f-abdfead145f3,1,MUERTO
f45e0429-f2f6-4a60-b523-4c7ec106eb29,1,ARMÓNICO
fe5703e2-0913-445c-a74d-041257dd45f3,3,NHD
999e0bc9-747a-498c-895c-c2cd7952913f,5,RSM Severo/Profundo
bbf155a8-6155-42ca-bb35-0b30d633f5d1,4,35 A 36 SemEG
e9ba514c-06c8-4f0f-9d41-c88992d822b9,1,PTAEG (Adecuado)
61ba7cb5-59b1-43a1-9c10-53e9f6dec301,3,Recuperándose
af685e5a-de03-4c98-9736-ed4349ad9350,1,NORMAL
58c54560-06df-4e31-b96a-819a04ebe796,4,O-
aadb35fd-4e3c-48cd-a0bc-fa36bfb67921,3,24 HORAS
baf7dc30-e8b5-4f95-93bd-8ca802202e58,4,1501 a 1800 gr
5fe8f841-391c-44a4-8805-86b9ffb94c51,3,"SI, grado en ojo izquierdo"
acd81a5d-27f0-4101-8e96-1a560c7f0087,1,Hasta 1 hora de transp
74e04996-03fa-4423-810a-4d9653dc5f0d,4,Fallece
341ada9c-4478-40dc-aae0-d4032ff548fd,3,Sin Diagnóstico
d8709062-a023-45b4-b4f2-25a750f7719d,4,"SI, grado en ambos ojos"
d64e7ff4-014d-42a4-8ee5-252fc046e224,7,B+
f2461702-9b41-4975-8539-d4c09fc331a5,2,APNEA SECUNDARIA
9fafb4a3-11ff-426d-95c7-30e99c214f2d,2,+ ANTES elegibilidad
5df3d4c4-2bab-4f0e-bb88-c06ff03f88b0,3,Transversa
30cb3405-c5a7-4017-9092-d7400eb97813,3,Casa
4ef3cd15-5bad-4d53-bca3-3948e38be195,4,Hipermetriopía
8b528b04-4dfe-4e4c-9565-8cf22568af85,4,nan
b4f78255-c4d6-400f-9327-8071d451e32d,2,Ventilación Mixta
62dd0dfd-7509-4968-9049-9cdaf40d50d2,1,ASINTOMÁTICA
71358f5a-5414-4524-ad61-3c0aef5ad407,2,URN
246b6238-da8f-464d-a34a-b276938997ee,3,SegAltoRiesgoPMC hasta 12mEC
35804eb4-ebd8-4b12-8c0c-8e75d7e32036,0,NO VAC COMPLETO
f956adc8-1d96-4a79-9edc-676e27985504,7,Cambió/Perdió su EPS/ERS
3df293b5-f3d3-4117-a774-2bacd2482fd4,5,Otro
c9c06ad7-4df4-45cb-8e06-b2e87cbfbfcd,1,Med.Obstetra
84cb3509-3dfb-43bc-9c68-7301cb6e52f3,5,Cambio de departamento
8274d470-0452-4cae-98e1-fce81897203c,3,Estudiante
79df735f-7812-48f2-83de-93004de946c4,3,APNEA-NO SE SABE
11cd94f3-8373-4f14-a4d2-09a140e2391d,3,uteroinhibitor (sin antiHAT o antibio)
a7f2ac1a-31bc-4aec-bc7a-288f48d09174,4,ATBPN
627e9a67-aa23-47ad-a323-54341a21ed55,2,SEPSIS NEONATAL (CONF./SOSP.0
9b9aac1c-e1ad-4227-a778-4828af65572f,0,NO
237e9a6c-73fb-4511-9f1c-c13b9d4c78cd,0,Normal
ebe92b2e-342a-46a9-b1de-f90d7b060495,0,NO TUVO
4da862e7-d7e1-4ee7-82f7-c2ac67e4e377,1,Normal
f544bbed-d30c-4249-8481-ac03a09831c2,2,ROP grado 2
f65990ee-bb17-47a2-92a1-eeb70704d592,1,"NO NORMAL, AL MENOS UNA VEZ"
c880eb2b-d974-43a8-a190-7ce4179fe1b7,1,Negativo
004aa6ce-7d57-4269-8eb6-54ae3a33a50f,1,Operados (laser/crioterapia)
f463d38e-dcce-4c5d-a276-e875a911420e,1,MUERTO (40sEG-12mEC)
757ccc77-100e-4e1e-998d-7930c186d253,1,Displasia Broncopulmonar
d00b426d-2edf-434b-b0b9-f4c15814a9aa,3,de 2 a 3 SM percápita mensual
3e6c396e-c2bd-4d97-8cdd-77d5d3ff90ba,-2,no hay datos fecha
d42cf467-9122-4af7-bddd-fb02fed0225d,2,AL MENOS 12 H
64a256c9-ff77-46da-8d03-8ac0e3c6443f,8,+ 9m a 12m
a4f8bea3-f32b-4ba1-9e68-8035b8a73465,5,6mEC-9mEC
abf3c277-48d8-4456-a9b5-14fdbcdda491,2,UCI
d3435474-696c-4436-93b3-aed7a4dbbae8,8,Vive lejos
1f00e7bd-52d3-40da-99fc-1ccb20d43ba9,1,hasta 1000 gr
f4b4394b-c705-4cde-88c7-e7b9eb0da011,9,NO SE SABE
89e4c3da-93c6-4f2d-8f21-bc9f12b8e879,2,31 1 32 SemEG
140c447c-5712-49a6-b834-8ae062bc3d04,1,hasta 40 semanas
4db88822-beb8-443f-9831-5b81627a1c2a,2,EDAD FERTIL NORMAL
88a4d1cf-df33-46ab-aa02-513fbebf5b9f,3,No se sabe
a476d29e-3601-4f18-887f-0d199bba892a,2,MIOPE
b56f95b7-6491-4de0-853f-19b114136ebf,6,A+
59cd41c9-91d4-4498-acb6-76bf7bac7d31,2,primaria incompleta
97bc9825-2b1d-446c-8520-b0b533fd82ce,4,Retraso moderado
a574c439-f28c-4cfb-bc92-dde3829db71e,1,MENOS DE 12 H
b4fa35c7-2631-46ac-a810-7e7b1ca8e87e,7,universitaria completa o no
46f38428-c7fe-45ec-9634-0085d9eb552c,2,4 a 9
24730761-a1a3-4b34-bfad-a658157b3103,4,NO ANOXIA
f7cc7a6f-bff1-4485-bcd7-de0f60277120,1,1er trimestre
3ec7efb0-95cc-4586-ae66-c44537ce6910,6,+ 3 m a 6 m
9a4e8fde-a194-4c47-b5ee-ba2dba754e94,3,SUPERIOR
5ce56e2b-facc-45fa-b1b2-caf7a142d0d8,4,Vehículo
dd7aeea1-8936-42f3-8732-99c32c89b415,1,AB-
ca2d2eda-517d-4d48-90fe-9bd8b3e43da0,1,SOLA SIN APOYO
9d8f0ab1-79b9-462b-9c0f-0153e8bb6010,5,Desaparecida
e29f5b81-d0a6-4e17-88a5-5e10c77a3ce9,2,EMERGENCIA2
3964d1d3-399b-4739-a375-6c1e12f1d78d,6,9mEC-12mEC
1d7da39c-71e7-462b-82b9-0fcea87a618b,1,CON empleo
4192e1d0-fbf2-49f6-ba93-cb52ed40df82,8,O+
fff69ee5-70be-4683-8b88-a359eeee440f,0,NORMAL
41ed26be-c1e8-47a1-9c18-a17fd4c80b15,2,de 1 a 2 SM percápita mensual
8f62208a-7a99-4917-bf8d-e49958ea497e,2,5 A 9
9c6ecfa2-67f1-44a9-800c-9dbb7fe45cd3,6,ROP grado 4 (CIEGO)
808d2a0d-e5e7-4fe1-8087-58afe27e7f5c,3,ANORMAL
5356e82b-a073-48e1-807b-9973570b00f5,9,NO HAY DATO
b03d92a0-2322-4904-a9a3-98ad4d122f85,1,hasta 1 SM percápita Mensual
f77c9ec2-042c-438b-8909-d70e50473e07,1,VAC COMPLETO
b4a9b3b3-cb79-4d08-8deb-6786568bf171,1,primaria completa o no
11982b3a-205c-4023-bba2-d600df17ee18,2,Contributivo
f9ef792d-9e7b-4dc9-98f0-64604122808a,0,NO EVALUADO
372a7d1d-12e9-4893-a473-38a16307e40f,2,apenas suficiente ( 3 comidas)
58207d98-f0bf-4aca-bcaf-c7880e3bdf9e,6,tecnica incompleta
897dbb44-5d95-4003-ac72-36130b48c4b7,4,Ciego 1 ojo
18e78771-8d4c-4bd7-ae2c-38b3c87710ec,3,HIPOTONIA
d1b61969-2084-42f0-9c9a-edcd26d9b3ec,4,NO hecho
f0bbfc29-e124-4fd5-982b-64768da80ed0,3,Aloj.Conjunto
1fab9e4e-ec22-49ad-a673-ed452381fe80,1,MASCULINO
2c93540f-8b7c-4aa9-9249-3f822a40a70c,0,En seg./seg.acabado
6ecc6d73-59e7-4377-aa97-a5132a4f3bcb,0,NO HIC
e6188ed1-cc14-425e-bcd0-15c5f78a3903,1,SI Hosp
9f252455-0985-4e9c-85dc-59995462128f,1,PATOLÓGICO
4c54200f-d23e-4189-93f0-7a86cbcb86a1,0,NINGUNO
4b396a30-5d9f-439d-b097-f748051b682c,9,SIN DIAGNÓSTICO
01284a33-45d7-4194-97f1-c4380cfa420f,14,Astigmatismo Hipermetrópico
af44540e-b3a7-47ff-9072-6673a3a3ec1c,1,1 a 3
ddced900-2de4-4ef8-b1ac-59bcffbe998d,0,Asistió después de 12 mEC
32fa65e5-46d4-4cac-8eb8-d58021fff2d2,0,NO VIO EL ARO
31017c05-8ccf-46d1-9899-785d0dbc7934,3,AMBIGÜO
9e8d3ef9-b7e4-402e-af67-e710158316be,3,MALA
818c5939-57ec-4a12-83ae-cb4688a1b76a,2,Control por ARO MAS  DE 50%
2418ed9f-b8a8-4ed0-a39a-f91fb9d2430e,0,No soporte ventilatorio
4450814b-b48b-4152-84d6-0fa28177a59f,0,NORMAL AUDICION
3e4703c8-b189-4b39-a6f5-c56a1fe88c4c,3,Cesárea Electiva
461f890a-3f32-4cf2-96d4-6a05a8c6d217,2,antibioticos (NO antihta)
4027f7e7-4c5e-42ce-bf40-48133fcb5221,2,entre 1 y 2 horas  de transp
cd58690f-aed1-4974-bb8d-a5d54f69a2d4,1,No autorizado/ no EPS/ARS
fd02caac-4ac7-4fae-9e9b-c9c27a5c0d6a,2,Limbo
0900c21c-2f32-4df9-860a-a3831041b439,3,10 o más
e6e58579-093d-4191-861b-a4089529d507,2,Hasta 12m EC
ddd6b66c-006f-4bad-9e86-3d3a36f7cd54,2,Problemas económicos
3937bafe-9ff2-468a-9d10-ac48542dc41b,3,10 O MAS ECOS
