id,nombre_bd,nombre_analisis,descripcion_corta,descripcion_larga,unidades,tipo_dato,nivel_medicion,basica,longitudinal,derivada,impacto,id_prefijo
3e3877af-2965-4a0c-8e17-e30ad57bee1a,Iden_embarazoMultiple,CP_EmbarazoMultiple,si fue un embarazo multiple,,,BOOLEAN,,True,True,False,False,17ff02fe-f716-414d-99f5-a86226eb1cbc
19ababa9-b731-420f-ac19-1781a5e431f9,CP_Prematuro,CP_Prematuro,Numero de prematuros,Numero de prematuros,,INTEGER,,True,True,False,False,17ff02fe-f716-414d-99f5-a86226eb1cbc
d2850ddf-82a2-4c7a-8bb7-71da4747032f,Iden_Codigo,IDEN_Codigo,IdentificadorBebe,,,INTEGER,,True,True,False,False,924b3cfb-a15e-482d-94a6-28122aec3922
167cef98-a7b0-4bc8-b69e-bb79f95f60b6,Iden_Sede,IDEN_Sede,sede del PMC,,,INTEGER,,True,True,False,False,924b3cfb-a15e-482d-94a6-28122aec3922
86d2ff73-032e-4404-92ff-4391a9e6cd77,Iden_FechaParto,PA_FechaParto,Fecha del parto,,,DATE11,,True,True,False,False,12b86e24-8a98-406c-a1b1-c1c2c30e77d5
266fcbe9-3b3e-4924-b76d-be02a3468be5,AC_CirujiaSeno,AC_CirugiaSeno,Madre tuvo cirugia de seno,Madre tuvo cirugia de seno,,BOOLEAN,,True,True,False,False,da7d60cd-7964-438e-b50d-5ef36036818f
1729060c-6905-490c-a1f2-36a06013f7be,edadmatcat,CP_Edadmatcat,EDAD MADRE (CAT),,,CATEGORIC,ORDINAL,True,True,False,False,17ff02fe-f716-414d-99f5-a86226eb1cbc
79ce7080-10dc-4aa6-a93c-48f9df2b8ac5,educmadresimplificada,CP_Educmadresimplificada,EDUCACION MADRE SIMPLIF.,,,CATEGORIC,ORDINAL,True,True,False,False,17ff02fe-f716-414d-99f5-a86226eb1cbc
73acd1e2-7be3-473a-886b-1f4edff9d9b6,educpadresimplificada,CP_Educpadresimplificada,EDUCACION PADRE SIMPLIF.,,,CATEGORIC,ORDINAL,True,True,False,False,17ff02fe-f716-414d-99f5-a86226eb1cbc
33f047c5-51ca-403f-8cfd-90e4e58f1846,CP_PesoMadre,CP_PesoMadre,Peso de la madre (Kg),Peso de la madre (Kg),kg.,FLOAT,,True,True,False,False,17ff02fe-f716-414d-99f5-a86226eb1cbc
4e598f79-789f-4c27-bd84-978db754281d,CP_PesoPadre,CP_PesoPadre,Peso del padre (Kg),Peso del padre (Kg),kg.,FLOAT,,True,True,False,False,17ff02fe-f716-414d-99f5-a86226eb1cbc
86919f56-a721-47be-a0de-2eea24b7e22e,CP_rhMadre,CP_rhMadre,Grupo sanguimeo y RH,Grupo sanguimeo y RH,,CATEGORIC,NOMINAL,True,True,False,False,17ff02fe-f716-414d-99f5-a86226eb1cbc
24ac1a1f-ec18-4d87-9cdc-9a11f98e91e0,CP_TallaMadre,CP_TallaMadre,Talla de la madre,Talla de la madre,cm,FLOAT,,True,True,False,False,17ff02fe-f716-414d-99f5-a86226eb1cbc
93afac36-3c26-4de3-9530-39159673e615,CP_TallaPadre,CP_TallaPadre,Talla del padre,Talla del padre,cm,FLOAT,,True,True,False,False,17ff02fe-f716-414d-99f5-a86226eb1cbc
